cle,nbmaisons,nbpers_au_foyer,type_client,catholique,protestant,autre_religion,sans_religion,marie,concubin,autre_relation,celibataire,sans_enfant,avec_enfant,niv_etude_haut,niv_etud_moy,niv_etud_bas,PCStop,PCScadre,PCSagri,PCSinter,PCSouvr_quali,PCSouvr,locataire,proprietaire,auto1,auto2,auto0,assur_sante_public,assur_sante_prive,revenu1,revenu2,revenu3,revenu4,revenu5,revenu_moyen,pouvoir_achat
52,1,2,6,0,5,1,4,3,2,5,5,3,3,2,3,4,1,1,0,4,2,3,7,2,6,1,3,8,1,5,3,2,0,0,3,1
53,1,2,5,1,4,2,3,6,2,2,2,4,3,1,2,6,1,0,0,3,2,4,9,0,7,2,2,8,1,3,3,3,1,0,4,2
54,1,2,3,0,7,0,2,6,0,3,4,2,4,3,3,3,4,0,2,0,4,1,1,8,3,0,6,7,2,4,3,2,2,0,4,6
55,2,3,8,0,6,1,3,7,0,2,1,3,6,1,2,7,1,0,1,3,3,4,1,8,8,0,1,8,1,0,2,7,0,0,4,3
56,2,5,9,1,5,0,3,7,1,2,0,0,9,0,4,5,0,0,0,6,3,0,2,7,6,2,2,6,3,0,4,5,0,0,4,5
57,1,1,3,0,5,1,4,4,3,2,6,3,1,4,5,1,2,0,0,4,3,2,8,1,8,0,1,9,0,3,5,2,0,0,3,6
58,1,3,3,0,6,0,3,7,2,0,1,2,6,2,4,4,1,0,0,5,2,1,0,9,9,0,0,5,4,2,4,4,0,0,4,7
59,1,2,8,0,4,4,2,7,2,1,1,7,2,0,3,6,1,0,2,4,1,4,7,2,8,1,1,7,2,5,3,2,0,0,3,5
60,1,3,7,0,4,1,4,6,1,3,1,4,5,1,3,5,3,0,1,4,1,2,2,7,4,0,5,7,2,2,2,2,4,1,6,2
61,1,2,7,0,5,3,2,4,1,4,5,4,1,2,4,3,1,1,0,5,2,1,9,0,5,0,4,5,4,5,3,2,0,0,3,2
62,1,3,8,1,4,1,4,6,1,3,2,4,4,1,3,6,1,1,1,2,4,2,4,5,5,2,3,7,2,3,4,2,1,1,3,3
63,1,3,8,0,4,0,5,9,0,0,0,5,4,3,4,3,2,0,0,5,2,1,2,7,5,4,0,5,4,0,2,3,2,3,8,6
64,2,1,5,0,2,4,4,2,2,5,5,4,0,0,7,2,0,0,0,7,0,2,9,0,7,0,2,9,0,4,4,2,0,0,3,3
65,1,1,3,4,0,0,5,0,2,7,7,2,1,0,7,2,0,0,0,3,0,6,8,1,2,0,7,7,2,6,3,0,2,0,3,6
66,1,4,8,0,8,1,0,9,0,0,0,2,7,2,3,4,3,1,0,4,1,1,0,9,7,2,0,6,3,0,6,3,0,0,4,3
67,1,3,8,0,6,1,2,7,1,2,1,4,4,1,2,6,1,0,1,3,2,4,5,4,5,2,3,6,3,2,5,2,1,0,3,3
68,1,3,3,0,6,0,3,6,0,3,2,4,4,4,3,2,7,0,0,0,2,0,0,9,9,0,0,4,5,0,5,4,0,0,4,6
69,1,3,8,4,3,0,2,6,0,3,3,4,3,0,7,2,2,0,2,4,0,2,2,7,6,3,0,3,6,0,7,2,0,0,4,3
70,1,2,7,2,2,2,4,6,0,3,3,4,2,0,1,8,1,0,0,1,4,5,9,0,4,3,3,9,0,1,8,0,0,0,3,3
71,2,3,3,0,5,0,4,9,0,0,0,4,5,2,5,2,2,2,0,4,0,2,7,2,7,2,0,6,3,4,5,0,0,0,3,4
72,1,2,6,1,5,2,2,5,1,3,4,5,1,1,5,4,3,1,0,4,1,2,6,3,7,1,1,5,4,4,4,2,1,0,3,1
73,1,3,7,1,5,1,3,8,1,1,2,5,3,2,3,5,1,1,1,5,3,1,4,5,7,0,2,5,4,2,3,4,1,0,4,1
74,2,3,2,0,5,2,3,7,1,2,2,3,5,3,4,3,4,0,0,4,1,0,1,8,8,0,1,6,3,0,5,4,0,0,4,7
75,1,3,3,1,4,0,5,6,2,1,2,3,5,3,6,0,2,0,0,5,1,1,2,7,7,2,0,5,4,1,0,5,3,0,6,6
76,1,3,1,0,5,2,2,7,0,2,2,4,4,0,4,5,1,0,0,3,2,5,2,7,6,0,3,8,1,2,4,4,0,0,4,6
77,1,2,9,0,4,2,3,5,1,3,2,4,3,0,3,6,1,0,1,2,2,5,8,1,6,1,3,6,3,4,4,1,0,0,3,4
78,1,2,3,0,6,1,2,7,1,1,1,8,1,5,4,0,4,0,0,1,4,0,9,0,8,1,1,4,5,0,5,4,0,0,5,6
79,1,2,1,3,3,1,4,8,1,0,0,7,2,4,3,3,6,0,0,1,1,3,0,9,9,0,0,4,5,3,3,4,0,0,4,6
80,1,3,3,1,4,1,5,6,2,1,1,4,5,2,5,3,1,0,0,6,1,2,1,8,7,2,0,8,1,1,3,6,1,0,5,6
81,1,2,1,0,6,1,3,5,0,4,3,3,4,1,3,5,1,0,1,6,1,3,2,7,7,0,2,7,2,0,5,4,0,0,4,6
82,1,2,1,1,4,1,4,7,1,2,0,9,0,0,0,9,4,0,0,2,2,1,5,5,6,2,1,5,4,5,5,0,0,0,3,6
83,1,3,1,6,0,0,3,8,0,1,1,4,5,5,4,2,6,1,0,3,1,0,0,9,7,2,1,1,8,1,0,3,5,0,8,8
84,1,3,10,0,6,1,2,6,0,3,2,3,5,1,2,6,1,0,1,4,2,4,2,7,7,0,2,7,2,0,4,5,0,0,4,4
85,1,2,5,0,2,2,6,4,2,4,2,5,3,1,4,5,0,0,0,4,3,3,9,0,4,0,5,8,1,4,2,4,0,0,3,3
86,1,3,9,1,5,1,3,5,1,3,3,2,4,2,3,5,2,1,0,3,2,3,5,4,4,2,4,7,2,3,5,1,1,0,3,4
87,1,3,1,1,7,0,2,8,1,0,0,5,4,4,1,5,4,0,2,2,2,0,0,9,6,3,0,3,6,3,3,3,2,0,5,8
88,1,4,9,2,0,2,5,9,0,0,0,3,6,2,4,4,2,0,0,3,5,0,0,9,9,0,0,7,2,0,5,4,0,0,4,5
89,1,1,8,0,6,1,2,1,2,6,5,3,2,2,5,2,2,0,0,4,1,3,9,0,5,1,3,5,4,4,3,3,0,0,3,3
90,1,2,9,0,4,2,4,7,1,2,3,4,3,1,1,8,1,0,0,3,6,0,3,6,7,1,1,8,1,0,7,2,0,0,4,4
91,1,3,3,1,4,1,5,7,1,1,0,4,5,0,6,3,1,1,0,4,2,3,0,9,6,2,2,8,1,0,6,0,3,0,5,4
92,1,5,2,0,5,0,4,9,0,0,0,0,8,5,4,0,7,0,0,2,0,0,0,9,9,0,0,4,5,0,0,9,0,0,5,7
93,2,3,1,0,6,1,2,6,0,3,1,4,4,3,2,5,1,0,1,4,2,4,3,6,7,0,2,7,2,0,4,5,0,0,4,6
94,1,1,6,0,4,2,4,3,0,6,6,2,1,1,1,7,0,0,2,2,4,2,8,1,3,0,6,9,0,2,5,2,1,0,4,1
95,1,2,9,0,7,2,0,9,0,0,2,5,2,2,5,2,1,0,0,3,3,3,6,3,7,0,2,7,2,1,3,3,2,0,6,5
96,1,3,3,0,8,0,1,9,0,0,0,4,5,0,4,5,3,1,2,2,2,1,3,6,6,2,1,5,4,0,0,7,2,0,6,6
97,1,2,9,0,4,0,5,9,0,0,2,4,3,0,0,9,0,0,0,4,5,0,6,3,9,0,0,9,0,3,4,3,1,0,3,5
98,1,2,3,0,6,1,2,7,1,1,5,1,4,5,4,0,4,0,0,5,1,0,9,0,8,1,1,4,5,0,5,4,0,0,5,4
99,1,2,8,2,4,2,2,7,0,2,2,4,3,1,5,4,1,0,0,3,1,4,2,7,5,3,2,5,4,2,5,3,0,0,4,3
100,1,2,5,3,4,1,2,1,3,5,4,3,2,1,4,5,1,0,0,3,1,5,8,1,7,0,2,6,3,5,3,1,1,0,3,2
101,1,3,8,0,4,0,5,9,0,0,0,2,7,1,1,8,1,0,0,2,6,2,3,6,6,1,2,7,2,3,5,2,1,0,3,3
102,1,3,1,0,6,2,2,9,0,0,0,4,5,3,6,0,4,0,0,4,2,0,0,9,6,3,0,3,6,0,6,3,0,0,4,8
103,1,4,8,0,8,1,0,9,0,0,0,2,7,2,3,4,3,1,0,4,1,1,0,9,7,2,0,6,3,0,6,3,0,0,4,3
104,2,2,3,2,4,4,0,5,0,4,4,2,3,2,3,4,4,0,0,2,0,4,0,9,4,2,4,5,4,3,5,1,1,0,3,6
105,1,3,8,2,6,1,2,7,1,2,0,3,6,4,2,4,4,0,1,0,2,3,2,7,7,2,0,5,4,2,2,3,3,0,5,4
106,2,2,5,0,3,1,6,4,1,5,3,0,6,0,0,9,0,0,0,0,4,5,9,0,5,1,3,8,1,5,4,0,0,0,2,2
107,1,4,1,1,4,1,4,7,1,2,2,4,4,5,4,0,0,5,4,0,0,0,4,5,6,2,1,5,4,0,0,9,0,0,6,6
108,1,2,5,3,3,0,4,6,0,3,4,2,4,3,5,2,3,1,0,2,2,2,6,3,7,1,1,2,7,2,3,3,3,0,5,4
109,1,2,8,0,4,2,4,3,2,4,4,4,2,0,5,4,0,0,0,7,0,2,7,2,7,0,2,9,0,4,5,0,0,0,3,4
110,1,4,8,1,4,2,3,7,1,2,0,0,9,0,0,9,0,0,0,0,5,4,9,0,6,2,2,7,2,0,4,5,0,0,4,3
111,1,4,2,2,5,1,2,6,1,3,0,2,7,4,4,2,3,1,0,5,2,1,1,8,8,0,1,6,3,1,3,4,3,1,5,7
112,1,2,5,0,5,0,5,0,6,3,3,5,2,0,5,4,2,0,0,4,2,2,9,0,5,3,3,9,0,5,2,3,0,0,3,3
113,1,2,8,0,7,0,2,7,2,0,0,5,4,0,3,6,2,0,0,2,5,2,0,9,4,4,2,6,3,2,5,3,0,0,3,3
114,2,4,8,2,4,2,3,7,0,2,1,3,5,4,5,0,4,1,0,3,0,3,8,1,6,3,0,0,9,0,4,4,1,1,6,6
115,1,3,8,0,7,1,2,8,0,1,1,4,4,0,4,5,1,0,0,4,2,2,0,9,7,1,2,6,3,0,5,4,0,0,4,3
116,3,2,5,2,2,3,4,4,2,4,5,4,2,3,2,5,5,0,0,4,1,0,8,1,1,2,6,8,1,7,2,1,0,0,2,3
117,1,2,8,0,5,2,2,6,1,2,2,3,4,3,1,6,2,0,0,3,3,2,2,7,7,0,2,8,1,2,5,2,0,0,3,6
118,1,3,8,0,2,2,6,6,0,3,3,3,4,0,4,5,1,0,0,3,5,2,8,1,5,0,4,9,0,0,0,9,0,0,4,3
119,1,2,2,1,4,2,4,5,2,3,0,6,3,6,3,0,0,0,0,6,3,0,0,9,6,1,2,7,2,0,0,9,0,0,4,7
120,1,3,8,0,9,0,0,5,0,4,2,3,4,0,3,6,0,0,2,0,3,5,4,5,3,2,4,7,2,6,2,2,0,0,2,3
121,1,3,8,3,3,0,3,7,2,1,1,6,3,0,2,7,1,0,0,2,3,4,6,3,7,1,2,7,2,5,3,1,1,0,3,5
122,1,4,8,1,4,2,3,7,1,2,0,0,9,0,0,9,0,0,0,0,5,4,9,0,6,2,2,7,2,0,4,5,0,0,4,5
123,2,3,8,0,7,0,2,7,2,0,0,4,5,0,2,7,0,2,0,2,4,2,2,7,5,4,0,9,0,0,5,4,0,0,4,6
124,1,3,3,0,5,1,4,7,1,2,1,3,5,0,3,6,1,0,0,3,4,2,8,1,6,1,2,9,0,1,5,3,0,0,3,4
125,1,3,3,0,3,0,6,9,0,0,0,3,6,5,2,2,2,0,0,5,0,2,0,9,6,0,3,9,0,0,4,5,0,0,4,8
126,1,2,7,0,4,0,5,3,0,6,6,2,2,1,1,7,0,0,0,0,5,4,9,0,5,0,4,9,0,6,3,0,0,0,2,2
127,1,2,8,1,5,2,2,5,1,3,3,5,1,1,5,3,3,1,0,4,1,2,5,4,7,1,1,5,4,3,3,3,1,0,3,3
128,1,2,1,0,4,4,2,6,0,3,3,4,3,7,2,0,7,0,0,2,0,1,0,9,5,4,0,3,6,0,3,6,0,0,4,6
129,1,2,6,0,5,1,4,3,2,5,5,3,3,2,3,4,1,1,0,4,2,3,7,2,6,1,3,8,1,5,3,2,0,0,3,1
130,1,2,5,2,4,1,3,3,2,5,5,3,2,2,6,2,1,0,0,3,2,4,8,1,5,0,4,8,1,6,2,1,0,1,3,3
131,1,3,2,2,5,2,1,7,2,0,0,2,7,4,4,2,3,0,0,5,2,1,0,9,9,0,0,4,5,1,2,7,0,0,5,7
132,1,2,8,0,5,2,3,5,2,3,2,6,1,1,3,5,2,1,0,3,1,4,4,5,7,1,2,6,3,3,4,3,1,0,3,4
133,1,3,9,1,1,2,6,5,1,4,3,2,4,1,2,7,0,0,0,2,4,4,8,1,4,1,5,8,1,5,4,1,1,0,3,4
134,2,3,2,0,6,2,2,9,0,0,0,4,5,2,4,4,5,0,0,4,0,0,2,7,7,2,0,6,3,5,2,0,2,0,4,7
135,1,3,2,0,0,0,9,5,4,0,0,4,5,3,6,0,3,0,0,6,0,0,0,9,6,3,0,6,3,0,3,6,0,0,5,6
136,1,2,7,1,6,0,3,3,2,5,4,2,3,1,4,5,3,0,0,4,2,2,3,6,5,1,3,7,2,3,2,3,2,1,5,3
137,1,3,8,1,4,2,3,7,1,1,1,4,4,1,2,7,2,1,1,1,4,2,2,7,4,4,2,7,2,3,3,3,0,1,4,3
138,1,3,8,0,5,0,4,4,0,5,3,2,5,1,3,6,0,0,2,2,4,3,2,7,5,1,3,7,2,3,3,3,0,0,3,3
139,1,3,1,1,7,0,2,8,1,0,0,5,4,4,1,5,4,0,2,2,2,0,0,9,6,3,0,3,6,3,3,3,2,0,5,8
140,1,3,3,4,0,0,5,5,4,0,0,6,3,6,2,2,6,0,0,2,2,1,0,9,7,2,0,2,7,0,3,3,4,1,6,6
141,1,1,6,1,4,1,4,3,0,6,6,3,1,1,6,3,2,0,0,3,3,3,8,1,5,1,4,5,4,3,3,3,1,1,3,1
142,1,3,3,1,5,1,3,7,2,1,1,3,5,4,4,2,3,1,1,4,2,1,1,8,6,3,1,5,4,2,4,4,1,0,4,6
143,1,4,8,0,2,0,7,7,0,2,0,3,6,1,6,3,0,0,0,4,3,2,0,9,6,1,2,5,4,0,1,6,3,0,6,6
144,1,4,9,2,4,2,4,7,1,2,2,0,7,1,8,0,1,0,0,4,4,1,2,7,7,1,2,6,3,4,2,4,0,0,3,4
145,1,3,8,0,1,3,5,7,0,2,1,1,8,0,1,8,1,1,0,1,6,3,9,0,5,2,3,7,2,1,6,3,0,0,4,3
146,1,4,8,0,5,0,4,8,0,1,0,1,8,0,1,8,0,0,0,1,5,4,9,0,7,2,0,9,0,3,6,1,0,0,3,3
147,1,3,7,0,2,3,4,6,0,3,2,0,7,0,3,6,0,0,0,3,3,4,9,0,7,0,2,9,0,2,5,3,0,0,3,1
148,1,3,2,0,3,4,2,9,0,0,0,3,6,5,3,2,7,0,0,2,0,1,0,9,5,4,0,2,7,0,2,4,1,3,8,7
149,1,5,10,1,1,5,3,9,0,0,0,1,8,0,6,3,1,0,6,3,0,0,0,9,6,3,0,9,0,1,6,3,0,0,3,3
150,2,3,2,0,5,2,3,7,1,2,2,3,5,3,4,3,4,0,0,4,1,0,1,8,8,0,1,6,3,0,5,4,0,0,4,7
151,1,4,2,1,5,1,3,7,1,2,0,3,6,3,5,1,3,1,0,4,1,2,1,8,7,0,2,5,4,1,3,5,1,1,5,7
152,1,2,1,0,4,0,5,7,0,2,2,6,2,3,5,1,6,1,0,2,0,1,6,3,7,2,0,3,6,2,4,4,1,0,5,6
153,1,3,9,0,3,3,4,6,1,2,1,2,7,0,3,6,0,0,0,2,2,6,9,0,7,0,2,7,2,6,3,1,0,0,2,4
154,1,3,3,2,3,0,5,5,2,3,0,2,7,1,7,2,2,0,0,4,0,4,4,5,7,2,0,6,3,4,5,1,0,0,3,7
155,1,4,3,1,5,1,4,8,1,1,1,2,7,3,5,2,2,0,0,5,2,1,1,8,9,0,0,5,4,2,4,4,0,0,4,8
156,1,2,8,0,4,1,4,6,1,3,1,6,2,2,2,5,1,0,2,3,3,2,3,6,4,0,5,7,2,2,3,1,3,2,6,4
157,1,4,3,5,3,1,1,8,1,1,1,1,8,1,5,3,1,0,0,5,3,1,1,8,9,0,0,5,4,3,2,4,0,0,4,8
158,1,3,8,0,6,1,3,7,0,2,1,4,5,1,2,6,1,0,2,3,2,3,2,7,7,1,2,7,2,1,4,4,1,0,4,5
159,1,2,7,0,4,2,3,5,0,4,4,4,2,0,2,7,0,0,0,4,0,5,9,0,7,0,2,9,0,8,1,1,0,0,2,1
160,1,3,9,2,4,1,3,8,0,1,1,5,4,1,4,4,1,0,0,6,1,3,5,4,5,2,3,6,3,2,4,3,1,0,4,5
161,1,2,5,0,4,2,3,5,1,3,2,4,3,0,3,6,1,0,1,2,2,5,8,1,6,1,3,6,3,4,4,1,0,0,3,2
162,1,3,3,2,3,2,4,8,1,1,1,5,4,2,1,7,2,0,0,3,3,2,9,0,6,2,2,7,2,2,3,2,4,0,6,4
163,1,3,7,2,2,0,5,6,1,3,3,1,6,0,1,8,3,0,1,0,2,4,6,3,6,0,3,9,0,3,6,0,0,0,2,1
164,1,4,10,1,4,1,4,6,0,3,0,3,6,0,6,3,2,0,5,0,0,3,0,9,6,1,2,6,3,0,1,8,0,0,5,3
165,1,3,10,0,5,0,4,7,2,0,0,3,6,0,4,5,2,0,2,0,4,3,4,5,7,2,0,5,4,2,2,3,3,0,5,4
166,1,2,9,0,4,1,5,3,1,6,3,2,4,0,1,8,1,0,0,1,0,7,8,1,4,2,4,7,2,7,2,0,0,0,2,5
167,1,3,9,1,4,1,4,7,1,2,2,4,3,1,2,6,4,0,0,2,2,1,2,7,6,2,1,5,4,2,5,2,2,0,4,3
168,1,2,8,9,0,0,0,5,1,3,3,5,2,2,4,3,2,0,1,2,0,4,2,7,4,0,5,7,2,4,2,3,1,2,5,5
169,1,4,8,0,4,1,5,6,2,2,0,4,5,0,4,5,4,0,0,3,3,0,5,4,6,2,2,8,1,0,0,4,5,0,7,5
170,1,4,3,0,6,1,3,7,1,2,1,2,7,1,3,6,0,0,0,3,2,4,8,1,7,1,1,9,0,2,3,4,0,0,4,4
171,1,2,3,0,4,1,5,4,3,3,2,3,4,1,4,5,1,0,0,2,3,4,8,1,6,1,2,8,1,3,4,2,0,0,3,4
172,2,2,3,2,4,4,0,5,0,4,4,2,3,2,3,4,4,0,0,2,0,4,0,9,4,2,4,5,4,3,5,1,1,0,3,6
173,1,2,10,0,5,2,2,7,1,1,0,6,3,2,0,7,2,2,3,2,1,2,1,8,8,0,1,5,4,2,4,3,2,0,4,4
174,2,3,8,0,6,1,3,7,0,2,1,3,6,1,2,7,1,0,1,3,3,4,1,8,8,0,1,8,1,0,2,7,0,0,4,3
175,1,3,8,0,7,1,2,8,1,0,0,4,5,0,4,5,0,0,0,5,1,4,4,5,8,1,0,9,0,2,5,2,2,0,4,6
176,1,3,7,2,4,0,4,7,0,2,0,3,6,1,1,7,2,0,0,3,3,3,1,8,5,2,2,7,2,0,7,2,0,0,3,3
177,1,3,3,2,2,3,4,7,1,2,2,2,5,4,3,3,2,0,0,4,2,2,9,0,5,1,4,4,5,1,3,5,1,1,5,4
178,1,3,2,1,4,1,4,9,0,0,0,4,5,3,6,1,2,0,0,4,2,2,0,9,7,2,0,2,7,0,1,6,3,1,6,7
179,1,4,8,0,6,2,1,6,1,2,0,1,8,1,1,8,1,0,0,2,2,5,8,1,6,1,2,8,1,4,4,2,0,1,3,3
180,1,3,10,0,7,0,3,8,1,1,1,3,5,1,4,5,1,1,3,2,3,1,2,7,5,4,0,6,3,3,4,4,0,0,4,4
181,1,3,3,1,2,2,6,9,0,0,0,3,6,3,4,2,4,0,0,3,2,1,0,9,6,2,2,5,4,0,3,4,3,0,5,8
182,2,3,3,0,3,0,6,5,2,4,3,2,5,0,5,4,2,0,2,3,2,2,5,4,7,2,0,5,4,2,5,2,2,0,4,4
183,1,4,3,0,5,0,4,9,0,0,0,3,6,0,4,5,0,0,0,4,5,0,3,6,7,1,1,5,4,2,7,0,0,0,3,8
